match_id,date,map,team_a_players,team_b_players,queue
1127897,2025-02-15,Enclosed (Random Civs),"[229635376212475904, 512487301717295104, 1291708538573291523, 715438374357434401]","[313042064332029952, 394425164231868416, 463259002596360203, 503759402206101545]",Domestic
1127863,2025-02-15,Hideout(Random Civs),"[229635376212475904, 1291708538573291523, 463259002596360203, 715438374357434401]","[313042064332029952, 394425164231868416, 503759402206101545, 584239778740961299]",Domestic
1127821,2025-02-15,Team Acropolis (Random Civs),"[332985391546236928, 754608550721880144, 715438374357434401, 732576383208914978]","[470492953983582219, 229635376212475904, 394425164231868416, 463259002596360203]",Domestic
1127807,2025-02-15,Arena (Random civs),"[431327099480047626, 522200099783311360, 394425164231868416, 584239778740961299]","[332985391546236928, 470492953983582219, 229635376212475904, 463259002596360203]",Domestic
1127791,2025-02-15,Migration,"[522200099783311360, 716142389902704691, 284337490712592386, 754608550721880144]","[332985391546236928, 470492953983582219, 229635376212475904, 725758030221934692]",Domestic
1127455,2025-02-14,Socotra (Random Civs),"[470492953983582219, 635025856313557033, 714793302582362162, 463259002596360203]","[811413902176419860, 229635376212475904, 401748724021329920, 321600706769584128]",Domestic
1127442,2025-02-14,Land Madness,"[811413902176419860, 635025856313557033, 714793302582362162, 463259002596360203]","[470492953983582219, 229635376212475904, 401748724021329920, 321600706769584128]",Domestic
1127401,2025-02-14,Runestones( Random Civs),"[401748724021329920, 714793302582362162, 463259002596360203, 698943503509618729]","[229635376212475904, 635025856313557033, 642625499989934080, 321600706769584128]",Domestic
1127374,2025-02-14,Oasis(Random Civs),"[229635376212475904, 714677532665839667, 714793302582362162, 321600706769584128]","[622810653878648873, 401748724021329920, 698943503509618729, 642625499989934080]",Domestic
1127346,2025-02-14,Golden Pit,"[229635376212475904, 695309066771365970, 697862073173934161, 463259002596360203]","[495896198444613643, 401748724021329920, 584450667897290784, 321600706769584128]",Domestic
1127326,2025-02-14,Arabia,"[495896198444613643, 584450667897290784, 1291708538573291523, 584239778740961299]","[703469910138814515, 695309066771365970, 849334461773774928, 642625499989934080]",Domestic
1127300,2025-02-14,Nomad (Random Civs),"[703469910138814515, 401748724021329920, 697862073173934161, 732576383208914978]","[229635376212475904, 725758030221934692, 584450667897290784, 463259002596360203]",Domestic
1127293,2025-02-14,Team Acropolis (Random Civs),"[573073267766722561, 229635376212475904, 401748724021329920, 584450667897290784]","[284337490712592386, 703469910138814515, 725758030221934692, 463259002596360203]",Domestic
1127267,2025-02-14,Arena Island (NC Zone) (Random Civs),"[703469910138814515, 401748724021329920, 463259002596360203, 584239778740961299]","[495896198444613643, 584450667897290784, 732576383208914978, 642625499989934080]",Domestic
1127248,2025-02-14,Steppe (Random Civs),"[573073267766722561, 229635376212475904, 401748724021329920, 697862073173934161]","[284337490712592386, 238042803093897216, 584450667897290784, 1291708538573291523]",Domestic
1126658,2025-02-13,Land Nomad (Random Civs),"[580385106494095381, 584450667897290784, 714793302582362162, 463259002596360203]","[635025856313557033, 697862073173934161, 849334461773774928, 503759402206101545]",Domestic
1126641,2025-02-13,Rage Forest (Random Civs),"[714677532665839667, 697862073173934161, 584450667897290784, 849334461773774928]","[284337490712592386, 229635376212475904, 698943503509618729, 945283728643608619]",Domestic
1126613,2025-02-13,4 lakes (Random civs),"[495896198444613643, 401748724021329920, 584450667897290784, 463259002596360203]","[580385106494095381, 635025856313557033, 849334461773774928, 714793302582362162]",Domestic
1126581,2025-02-13,Hideout(Random Civs),"[495896198444613643, 695309066771365970, 754608550721880144, 463259002596360203]","[284337490712592386, 229635376212475904, 584450667897290784, 945283728643608619]",Domestic
1126548,2025-02-13,African Clearing (Random Civs),"[495896198444613643, 401748724021329920, 849334461773774928, 584450667897290784]","[811413902176419860, 635025856313557033, 703469910138814515, 463259002596360203]",Domestic
1125992,2025-02-12,Rage Arena(Random Civs),"[573073267766722561, 635025856313557033, 703469910138814515, 714793302582362162]","[284337490712592386, 580385106494095381, 229635376212475904, 463259002596360203]",Domestic
1125974,2025-02-12,Enclosed (Random Civs),"[635025856313557033, 703469910138814515, 697862073173934161, 714793302582362162]","[284337490712592386, 580385106494095381, 229635376212475904, 642625499989934080]",Domestic
1125918,2025-02-12,Team Acropolis (Random Civs),"[635025856313557033, 401748724021329920, 695309066771365970, 463259002596360203]","[495896198444613643, 714677532665839667, 697862073173934161, 642625499989934080]",Domestic
1125333,2025-02-11,Ghost Lake,"[238042803093897216, 580385106494095381, 635025856313557033, 229635376212475904]","[332985391546236928, 703469910138814515, 714793302582362162, 463259002596360203]",Domestic
1125313,2025-02-11,Baltic,"[332985391546236928, 714677532665839667, 463259002596360203, 732576383208914978]","[703469910138814515, 635025856313557033, 229635376212475904, 714793302582362162]",Domestic
1125280,2025-02-11,Arena (Random civs),"[635025856313557033, 695309066771365970, 229635376212475904, 725758030221934692]","[238042803093897216, 703469910138814515, 697862073173934161, 714793302582362162]",Domestic
1125242,2025-02-11,Golden Lakes (Random Civs),"[1286707470802227285, 635025856313557033, 229635376212475904, 642625499989934080]","[238042803093897216, 573073267766722561, 695309066771365970, 732576383208914978]",Domestic
1124769,2025-02-10,Migration,"[238042803093897216, 635025856313557033, 401748724021329920, 229635376212475904]","[522200099783311360, 573073267766722561, 714677532665839667, 631896735337152525]",Domestic
1124752,2025-02-10,Land Madness,"[573073267766722561, 401748724021329920, 631896735337152525, 698943503509618729]","[229635376212475904, 697862073173934161, 714677532665839667, 584450667897290784]",Domestic
1124696,2025-02-10,Regicide Fortress (Random Civs),"[522200099783311360, 568857045080473601, 584450667897290784, 584239778740961299]","[238042803093897216, 703469910138814515, 229635376212475904, 1291708538573291523]",Domestic
1124683,2025-02-10,Arena Island (NC Zone) (Random Civs),"[238042803093897216, 695309066771365970, 697862073173934161, 584450667897290784]","[635025856313557033, 703469910138814515, 401748724021329920, 631896735337152525]",Domestic
1124657,2025-02-10,Oasis(Random Civs),"[703469910138814515, 401748724021329920, 229635376212475904, 725758030221934692]","[238042803093897216, 635025856313557033, 631896735337152525, 584450667897290784]",Domestic
1124642,2025-02-10,Runestones( Random Civs),"[229635376212475904, 697862073173934161, 631896735337152525, 732576383208914978]","[635025856313557033, 811413902176419860, 945283728643608619, 584239778740961299]",Domestic
1124119,2025-02-09,Nomad (Random Civs),"[464205461407924225, 580385106494095381, 695309066771365970, 1291708538573291523]","[635025856313557033, 811413902176419860, 401748724021329920, 714793302582362162]",Domestic
1124085,2025-02-09,Land Nomad (Random Civs),"[692780064106086420, 580385106494095381, 695309066771365970, 714793302582362162]","[464205461407924225, 635025856313557033, 401748724021329920, 1291708538573291523]",Domestic
1124052,2025-02-09,Arabia,"[464205461407924225, 635025856313557033, 695309066771365970, 642625499989934080]","[692780064106086420, 401748724021329920, 697862073173934161, 714793302582362162]",Domestic
1124015,2025-02-09,4 lakes (Random civs),"[692780064106086420, 580385106494095381, 1291708538573291523, 698943503509618729]","[703469910138814515, 401748724021329920, 695309066771365970, 714793302582362162]",Domestic
1123993,2025-02-09,Valley,"[1286707470802227285, 635025856313557033, 631896735337152525, 714793302582362162]","[692780064106086420, 703469910138814515, 401748724021329920, 642625499989934080]",Domestic
1123976,2025-02-09,African Clearing (Random Civs),"[386965257660399619, 580385106494095381, 703469910138814515, 631896735337152525]","[238042803093897216, 1286707470802227285, 401748724021329920, 229635376212475904]",Domestic
1123969,2025-02-09,Land Nomad (Random Civs),"[238042803093897216, 580385106494095381, 703469910138814515, 229635376212475904]","[386965257660399619, 1286707470802227285, 401748724021329920, 642625499989934080]",Domestic
1123931,2025-02-09,Hideout(Random Civs),"[703469910138814515, 401748724021329920, 631896735337152525, 714793302582362162]","[692780064106086420, 1286707470802227285, 1291708538573291523, 321600706769584128]",Domestic
1123904,2025-02-09,Hill fort (Random Civs),"[386965257660399619, 229635376212475904, 631896735337152525, 321600706769584128]","[692780064106086420, 1286707470802227285, 1291708538573291523, 642625499989934080]",Domestic
1123728,2025-02-09,Enclosed (Random Civs),"[580385106494095381, 584450667897290784, 358570022400032768, 642625499989934080]","[495896198444613643, 394425164231868416, 732576383208914978, 697860695550722089]",Domestic
1123714,2025-02-09,Rage Arena(Random Civs),"[495896198444613643, 284337490712592386, 358570022400032768, 697860695550722089]","[464205461407924225, 394425164231868416, 584450667897290784, 463259002596360203]",Domestic
1123699,2025-02-09,Ghost Lake,"[697862073173934161, 754608550721880144, 584450667897290784, 358570022400032768]","[464205461407924225, 394425164231868416, 463259002596360203, 697860695550722089]",Domestic
1123677,2025-02-09,Rage Forest (Random Civs),"[464205461407924225, 284337490712592386, 463259002596360203, 697860695550722089]","[495896198444613643, 635025856313557033, 584450667897290784, 642625499989934080]",Domestic
1123433,2025-02-09,Chaos Pit (Random Civs),"[568857045080473601, 470492953983582219, 443955685227626517, 580385106494095381]","[440386346314498093, 522200099783311360, 635025856313557033, 584239778740961299]",Domestic
1123390,2025-02-09,Regicide Fortress (Random Civs),"[440386346314498093, 635025856313557033, 470492953983582219, 584239778740961299]","[522200099783311360, 568857045080473601, 849334461773774928, 715438374357434401]",Domestic
1123253,2025-02-08,Land Madness,"[386965257660399619, 631896735337152525, 715438374357434401, 697860695550722089]","[580385106494095381, 849334461773774928, 714793302582362162, 635033349206966277]",Domestic
1123200,2025-02-08,Arena Island (NC Zone) (Random Civs),"[238042803093897216, 580385106494095381, 443955685227626517, 714793302582362162]","[716142389902704691, 692780064106086420, 849334461773774928, 463259002596360203]",Domestic
1123176,2025-02-08,Steppe (Random Civs),"[238042803093897216, 849334461773774928, 584450667897290784, 463259002596360203]","[716142389902704691, 703469910138814515, 714793302582362162, 697860695550722089]",Domestic
1123157,2025-02-08,Kawasan (Random Civs),"[238042803093897216, 849334461773774928, 714793302582362162, 463259002596360203]","[716142389902704691, 703469910138814515, 584450667897290784, 697860695550722089]",Domestic
1123135,2025-02-08,Runestones( Random Civs),"[238042803093897216, 849334461773774928, 463259002596360203, 715438374357434401]","[692780064106086420, 703469910138814515, 584450667897290784, 697860695550722089]",Domestic
1123106,2025-02-08,4 lakes (Random civs),"[495896198444613643, 849334461773774928, 584450667897290784, 697860695550722089]","[703469910138814515, 697862073173934161, 463259002596360203, 1291708538573291523]",Domestic
