match_id,date,map,team_a_players,team_b_players,queue
1117833,2025-01-31,Land Nomad,"[573073267766722561, 739435983707308062, 1010781418458206329, 715923016412037221]","[1033770965127135333, 354904864066764804, 328978193312776212, 555011931488911374]",4v4
1117810,2025-01-31,Land Nomad,"[1033770965127135333, 328978193312776212, 1010781418458206329, 715923016412037221]","[354904864066764804, 739435983707308062, 828672992976437267, 555011931488911374]",4v4
1117787,2025-01-31,Land Nomad,"[354904864066764804, 739435983707308062, 1010781418458206329, 555011931488911374]","[1033770965127135333, 328978193312776212, 828672992976437267, 715923016412037221]",4v4
1117760,2025-01-31,Land Nomad,"[354904864066764804, 1010781418458206329, 715923016412037221]","[511604233267707925, 828672992976437267, 555011931488911374]",4v4
1117685,2025-01-31,Land Nomad,"[573073267766722561, 1010781418458206329, 715923016412037221]","[354904864066764804, 511604233267707925, 828672992976437267]",4v4
1117664,2025-01-31,Land Nomad,"[573073267766722561, 1010781418458206329, 715923016412037221]","[354904864066764804, 511604233267707925, 828672992976437267]",4v4
1114502,2025-01-26,Land Nomad,"[1033770965127135333, 695309066771365970, 328978193312776212]","[1241745368077697135, 739435983707308062, 555011931488911374]",4v4
1114188,2025-01-26,Land Nomad,"[1241745368077697135, 695276693362835466, 555011931488911374]","[573073267766722561, 695309066771365970, 715923016412037221]",4v4
1114159,2025-01-26,Land Nomad,"[573073267766722561, 695309066771365970, 328978193312776212, 797796953269338133]","[1241745368077697135, 1033770965127135333, 555011931488911374, 715923016412037221]",4v4
1114156,2025-01-26,Land Nomad,"[1241745368077697135, 1033770965127135333, 797796953269338133]","[695309066771365970, 328978193312776212, 555011931488911374, 715923016412037221]",4v4
1114098,2025-01-26,Land Nomad,"[649505118152294421, 695309066771365970, 1024061084233125888, 328978193312776212]","[1033770965127135333, 695276693362835466, 435111409320198167, 715923016412037221]",4v4
1114096,2025-01-26,Land Nomad,"[695309066771365970, 695276693362835466, 435111409320198167]","[1033770965127135333, 649505118152294421, 715923016412037221]",4v4
1114076,2025-01-26,Land Nomad,"[695276693362835466, 739435983707308062, 1024061084233125888, 715923016412037221]","[1033770965127135333, 695309066771365970, 435111409320198167, 1093481859607957514]",4v4
1114053,2025-01-26,Land Nomad,"[739435983707308062, 435111409320198167, 715923016412037221]","[1033770965127135333, 1024061084233125888, 1093481859607957514]",4v4
1113447,2025-01-25,Land Nomad,"[695309066771365970, 739435983707308062, 1024061084233125888]","[1033770965127135333, 328978193312776212, 555011931488911374]",4v4
1113410,2025-01-25,Land Nomad,"[695309066771365970, 739435983707308062, 555011931488911374]","[1033770965127135333, 328978193312776212, 581434797117669386]",4v4
1113114,2025-01-25,Land Nomad,"[573073267766722561, 649505118152294421, 555011931488911374, 715923016412037221]","[622810653878648873, 695309066771365970, 435111409320198167, 828672992976437267]",4v4
1113113,2025-01-25,Land Nomad,"[622810653878648873, 649505118152294421, 695309066771365970, 555011931488911374]","[573073267766722561, 435111409320198167, 828672992976437267, 715923016412037221]",4v4
1113089,2025-01-25,Land Nomad,"[573073267766722561, 622810653878648873, 828672992976437267, 555011931488911374]","[1241745368077697135, 695276693362835466, 695309066771365970, 1093481859607957514]",4v4
1113073,2025-01-25,Land Nomad,"[695276693362835466, 649505118152294421, 695309066771365970, 435111409320198167]","[1241745368077697135, 622810653878648873, 555011931488911374, 715923016412037221]",4v4
1113057,2025-01-25,Land Nomad,"[622810653878648873, 649505118152294421, 555011931488911374, 715923016412037221]","[1241745368077697135, 739435983707308062, 828672992976437267, 1093481859607957514]",4v4
1113055,2025-01-25,Land Nomad,"[622810653878648873, 695309066771365970, 555011931488911374, 715923016412037221]","[1241745368077697135, 739435983707308062, 828672992976437267, 1093481859607957514]",4v4
1113038,2025-01-25,Land Nomad,"[435111409320198167, 511604233267707925, 715923016412037221]","[1024061084233125888, 828672992976437267, 555011931488911374]",4v4
1113026,2025-01-25,Land Nomad,"[435111409320198167, 1024061084233125888, 715923016412037221]","[739435983707308062, 511604233267707925, 828672992976437267]",4v4
1113010,2025-01-25,Land Nomad,"[1024061084233125888, 511604233267707925, 715923016412037221]","[435111409320198167, 739435983707308062, 828672992976437267]",4v4
