match_id,date,map,team_a_players,team_b_players
846664,2024-01-28,Land Nomad (Random Civs),"[495896198444613643, 703469910138814515, 715438374357434401, 584239778740961299]","[470492953983582219, 695309066771365970, 394425164231868416, 463259002596360203]"
846653,2024-01-28,Runestones( Random Civs),"[495896198444613643, 394425164231868416, 715438374357434401, 945283728643608619]","[470492953983582219, 849334461773774928, 605758375052967937, 767743114575085628]"
846566,2024-01-28,African Clearing (Random Civs),"[314461722817593345, 692780064106086420, 749079044917690388, 584239778740961299]","[440386346314498093, 522200099783311360, 443955685227626517, 605758375052967937]"
846540,2024-01-28,Migration (Random Civs),"[314461722817593345, 714677532665839667, 443955685227626517, 605758375052967937]","[440386346314498093, 522200099783311360, 692780064106086420, 749079044917690388]"
846519,2024-01-28,Mega Random (Random Civs),"[314461722817593345, 692780064106086420, 749079044917690388, 605758375052967937]","[440386346314498093, 522200099783311360, 573073267766722561, 714677532665839667]"
846480,2024-01-28,Haboob (Random Civs),"[238042803093897216, 692780064106086420, 714677532665839667, 443955685227626517]","[440386346314498093, 522200099783311360, 749079044917690388, 605758375052967937]"
846388,2024-01-27,Oasis(Random Civs),"[573073267766722561, 714793302582362162, 715438374357434401, 711266082043854870]","[692780064106086420, 699611550423711766, 697860695550722089, 525397136481714186]"
846338,2024-01-27,Arena (Random civs),"[692780064106086420, 849334461773774928, 715438374357434401, 711266082043854870]","[573073267766722561, 699611550423711766, 714793302582362162, 697860695550722089]"
846317,2024-01-27,Arena (Random civs),"[573073267766722561, 699611550423711766, 711266082043854870, 697860695550722089]","[849334461773774928, 695309066771365970, 714793302582362162, 715438374357434401]"
846244,2024-01-27,Enclosed- Random Civs,"[849334461773774928, 416313753542590474, 503759402206101545, 463259002596360203]","[699611550423711766, 695309066771365970, 711266082043854870, 697860695550722089]"
846210,2024-01-27,Nomad (Random Civs),"[692780064106086420, 573073267766722561, 695309066771365970, 715438374357434401]","[348849437101260801, 699611550423711766, 849334461773774928, 503759402206101545]"
846202,2024-01-27,4 lakes (Random civs),"[348849437101260801, 692780064106086420, 635025856313557033, 849334461773774928]","[657452537506562069, 573073267766722561, 695309066771365970, 503759402206101545]"
846193,2024-01-27,Land Madness,"[657452537506562069, 692780064106086420, 503759402206101545, 715438374357434401]","[348849437101260801, 573073267766722561, 849334461773774928, 401748724021329920]"
846162,2024-01-27,Runestones( Random Civs),"[692780064106086420, 849334461773774928, 512487301717295104, 401748724021329920]","[348849437101260801, 304272299534581762, 394425164231868416, 503759402206101545]"
846144,2024-01-27,Rage Forest (Random Civs),"[211286360714117120, 416313753542590474, 584450667897290784, 711266082043854870]","[495896198444613643, 723567999784583239, 463259002596360203, 697860695550722089]"
846142,2024-01-27,Kawasan (Random Civs),"[304272299534581762, 849334461773774928, 394425164231868416, 223875529600663552]","[692780064106086420, 512487301717295104, 401748724021329920, 503759402206101545]"
846109,2024-01-27,Team Islands,"[657452537506562069, 348849437101260801, 697862073173934161, 723567999784583239]","[314461722817593345, 495896198444613643, 463259002596360203, 584450667897290784]"
846100,2024-01-27,African Clearing (Random Civs),"[725758030221934692, 754608550721880144, 416313753542590474, 711266082043854870]","[304272299534581762, 849334461773774928, 512487301717295104, 697860695550722089]"
846094,2024-01-27,Beduoins (Random Civs),"[495896198444613643, 394425164231868416, 463259002596360203, 584450667897290784]","[697862073173934161, 223875529600663552, 401748724021329920, 723567999784583239]"
846086,2024-01-27,Nomad (Random Civs),"[697862073173934161, 754608550721880144, 401748724021329920, 759153260136366131]","[495896198444613643, 723567999784583239, 463259002596360203, 584450667897290784]"
846054,2024-01-27,Arabia,"[348849437101260801, 238042803093897216, 849334461773774928, 512487301717295104]","[657452537506562069, 304272299534581762, 703469910138814515, 416313753542590474]"
846036,2024-01-27,Ghost Lake,"[401748724021329920, 723567999784583239, 503759402206101545, 697860695550722089]","[223875529600663552, 394425164231868416, 584450667897290784, 711266082043854870]"
846021,2024-01-27,Oasis(Random Civs),"[314461722817593345, 697862073173934161, 759153260136366131, 416313753542590474]","[348849437101260801, 410863622139412482, 304272299534581762, 703469910138814515]"
846016,2024-01-27,Hideout(Random Civs),"[401748724021329920, 394425164231868416, 715438374357434401, 584450667897290784]","[223875529600663552, 723567999784583239, 503759402206101545, 711266082043854870]"
845995,2024-01-27,Land Nomad (Random Civs),"[495896198444613643, 410863622139412482, 759153260136366131, 711266082043854870]","[348849437101260801, 317357930796023828, 394425164231868416, 584450667897290784]"
845737,2024-01-27,Team Acropolis (Random Civs),"[313042064332029952, 401748724021329920, 394425164231868416, 767743114575085628]","[470492953983582219, 723567999784583239, 635033349206966277, 889573070409465887]"
845730,2024-01-27,Mega Random (Random Civs),"[470492953983582219, 394425164231868416, 426026435417866244, 945283728643608619]","[401748724021329920, 635033349206966277, 889573070409465887, 767743114575085628]"
845724,2024-01-27,Arena (Random civs),"[401748724021329920, 394425164231868416, 635033349206966277, 945283728643608619]","[635025856313557033, 889573070409465887, 463259002596360203, 767743114575085628]"
845716,2024-01-27,Water Nomad,"[495896198444613643, 313042064332029952, 470492953983582219, 715438374357434401]","[431327099480047626, 635025856313557033, 512487301717295104, 426026435417866244]"
